"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"MOAB_055_027",31,14.2,1.5,"",""
"MOAB_055_007",31,4.2,1.5,"",""
"MOAB_055_055",31,10.2,4.5,"",""
"MOAB_055_064",31,14.7,4.5,"",""
"MOAB_055_039",31,2.2,4.5,"",""
"MOAB_055_164",31,10.7,13.5,"",""
"MOAB_055_056",31,10.7,4.5,"",""
"MOAB_055_137",31,15.2,10.5,"",""
"MOAB_055_115",31,4.2,10.5,"",""
"MOAB_055_057",31,11.2,4.5,"",""
"MOAB_055_120",31,6.7,10.5,"",""
"MOAB_055_123",31,8.2,10.5,"",""
"MOAB_055_154",31,5.7,13.5,"",""
"MOAB_055_065",31,15.2,4.5,"",""
"MOAB_055_158",31,7.7,13.5,"",""
"MOAB_055_047",31,6.2,4.5,"",""
"MOAB_055_200",31,10.7,16.5,"",""
"MOAB_055_012",31,6.7,1.5,"",""
"MOAB_055_165",31,11.2,13.5,"",""
"MOAB_055_053",31,9.2,4.5,"",""
"MOAB_055_196",31,8.7,16.5,"",""
"MOAB_055_054",31,9.7,4.5,"",""
"MOAB_055_059",31,12.2,4.5,"",""
"MOAB_055_210",31,15.7,16.5,"",""
"MOAB_055_060",31,12.7,4.5,"",""
"MOAB_055_079",31,4.2,7.5,"",""
"MOAB_055_050",31,7.7,4.5,"",""
"MOAB_055_080",31,4.7,7.5,"",""
"MOAB_055_163",31,10.2,13.5,"",""
"MOAB_055_006",31,3.7,1.5,"",""
"MOAB_055_061",31,13.2,4.5,"",""
"MOAB_055_014",31,7.7,1.5,"",""
"MOAB_055_192",31,6.7,16.5,"",""
"MOAB_055_021",31,11.2,1.5,"",""
"MOAB_055_136",31,14.7,10.5,"",""
"MOAB_055_102",31,15.7,7.5,"",""
"MOAB_055_018",31,9.7,1.5,"",""
"MOAB_055_166",31,11.7,13.5,"",""
"MOAB_055_188",31,4.7,16.5,"",""
"MOAB_055_167",31,12.2,13.5,"",""
"MOAB_055_073",31,1.2,7.5,"",""
"MOAB_055_083",31,6.2,7.5,"",""
"MOAB_055_022",31,11.7,1.5,"",""
"MOAB_055_122",31,7.7,10.5,"",""
"MOAB_055_174",31,15.7,13.5,"",""
"MOAB_055_142",31,17.7,10.5,"",""
"MOAB_055_023",31,12.2,1.5,"",""
"MOAB_055_066",31,15.7,4.5,"",""
"MOAB_055_117",31,5.2,10.5,"",""
"MOAB_055_191",31,6.2,16.5,"",""
"MOAB_055_019",31,10.2,1.5,"",""
"MOAB_055_209",31,15.2,16.5,"",""
"MOAB_055_016",31,8.7,1.5,"",""
"MOAB_055_205",31,13.2,16.5,"",""
"MOAB_055_068",31,16.7,4.5,"",""
"MOAB_055_051",31,8.2,4.5,"",""
"MOAB_055_201",31,11.2,16.5,"",""
"MOAB_055_093",31,11.2,7.5,"",""
"MOAB_055_126",31,9.7,10.5,"",""
"MOAB_055_024",31,12.7,1.5,"",""
"MOAB_055_146",31,1.7,13.5,"",""
"MOAB_055_143",31,18.2,10.5,"",""
"MOAB_055_153",31,5.2,13.5,"",""
"MOAB_055_067",31,16.2,4.5,"",""
"MOAB_055_096",31,12.7,7.5,"",""
"MOAB_055_025",31,13.2,1.5,"",""
"MOAB_055_204",31,12.7,16.5,"",""
"MOAB_055_013",31,7.2,1.5,"",""
"MOAB_055_190",31,5.7,16.5,"",""
"MOAB_055_075",31,2.2,7.5,"",""
"MOAB_055_008",31,4.7,1.5,"",""
"MOAB_055_095",31,12.2,7.5,"",""
"MOAB_055_160",31,8.7,13.5,"",""
"MOAB_055_206",31,13.7,16.5,"",""
"MOAB_055_186",31,3.7,16.5,"",""
"MOAB_055_121",31,7.2,10.5,"",""
"MOAB_055_161",31,9.2,13.5,"",""
"MOAB_055_094",31,11.7,7.5,"",""
"MOAB_055_141",31,17.2,10.5,"",""
"MOAB_055_139",31,16.2,10.5,"",""
"MOAB_055_173",31,15.2,13.5,"",""
"MOAB_055_042",31,3.7,4.5,"",""
"MOAB_055_155",31,6.2,13.5,"",""
"MOAB_055_124",31,8.7,10.5,"",""
"MOAB_055_070",31,17.7,4.5,"",""
"MOAB_055_194",31,7.7,16.5,"",""
"MOAB_055_134",31,13.7,10.5,"",""
"MOAB_055_043",31,4.2,4.5,"",""
"MOAB_055_100",31,14.7,7.5,"",""
"MOAB_055_010",31,5.7,1.5,"",""
"MOAB_055_052",31,8.7,4.5,"",""
"MOAB_055_150",31,3.7,13.5,"",""
"MOAB_055_026",31,13.7,1.5,"",""
"MOAB_055_020",31,10.7,1.5,"",""
"MOAB_055_029",31,15.2,1.5,"",""
"MOAB_055_149",31,3.2,13.5,"",""
"MOAB_055_116",31,4.7,10.5,"",""
"MOAB_055_144",31,18.7,10.5,"",""
"MOAB_055_071",31,18.2,4.5,"",""
"MOAB_055_170",31,13.7,13.5,"",""
"MOAB_055_092",31,10.7,7.5,"",""
"MOAB_055_152",31,4.7,13.5,"",""
"MOAB_055_148",31,2.7,13.5,"",""
"MOAB_055_082",31,5.7,7.5,"",""
"MOAB_055_101",31,15.2,7.5,"",""
"MOAB_055_078",31,3.7,7.5,"",""
"MOAB_055_177",31,17.2,13.5,"",""
"MOAB_055_009",31,5.2,1.5,"",""
"MOAB_055_198",31,9.7,16.5,"",""
"MOAB_055_114",31,3.7,10.5,"",""
"MOAB_055_176",31,16.7,13.5,"",""
"MOAB_055_138",31,15.7,10.5,"",""
"MOAB_055_203",31,12.2,16.5,"",""
"MOAB_055_062",31,13.7,4.5,"",""
"MOAB_055_063",31,14.2,4.5,"",""
"MOAB_055_030",31,15.7,1.5,"",""
"MOAB_055_197",31,9.2,16.5,"",""
"MOAB_055_038",31,1.7,4.5,"",""
"MOAB_055_081",31,5.2,7.5,"",""
"MOAB_055_156",31,6.7,13.5,"",""
"MOAB_055_118",31,5.7,10.5,"",""
"MOAB_055_202",31,11.7,16.5,"",""
"MOAB_055_028",31,14.7,1.5,"",""
"MOAB_055_077",31,3.2,7.5,"",""
"MOAB_055_045",31,5.2,4.5,"",""
"MOAB_055_168",31,12.7,13.5,"",""
"MOAB_055_058",31,11.7,4.5,"",""
"MOAB_055_074",31,1.7,7.5,"",""
"MOAB_055_048",31,6.7,4.5,"",""
"MOAB_055_076",31,2.7,7.5,"",""
"MOAB_055_157",31,7.2,13.5,"",""
"MOAB_055_169",31,13.2,13.5,"",""
"MOAB_055_017",31,9.2,1.5,"",""
"MOAB_055_125",31,9.2,10.5,"",""
"MOAB_055_099",31,14.2,7.5,"",""
"MOAB_055_015",31,8.2,1.5,"",""
"MOAB_055_037",31,1.2,4.5,"",""
"MOAB_055_189",31,5.2,16.5,"",""
"MOAB_055_187",31,4.2,16.5,"",""
"MOAB_055_147",31,2.2,13.5,"",""
"MOAB_055_049",31,7.2,4.5,"",""
"MOAB_055_208",31,14.7,16.5,"",""
"MOAB_055_195",31,8.2,16.5,"",""
"MOAB_055_044",31,4.7,4.5,"",""
"MOAB_055_041",31,3.2,4.5,"",""
"MOAB_055_178",31,17.7,13.5,"",""
"MOAB_055_180",31,18.7,13.5,"",""
"MOAB_055_091",31,10.2,7.5,"",""
"MOAB_055_135",31,14.2,10.5,"",""
"MOAB_055_011",31,6.2,1.5,"",""
"MOAB_055_151",31,4.2,13.5,"",""
"MOAB_055_140",31,16.7,10.5,"",""
"MOAB_055_162",31,9.7,13.5,"",""
"MOAB_055_097",31,13.2,7.5,"",""
"MOAB_055_159",31,8.2,13.5,"",""
"MOAB_055_119",31,6.2,10.5,"",""
"MOAB_055_179",31,18.2,13.5,"",""
"MOAB_055_199",31,10.2,16.5,"",""
"MOAB_055_211",31,16.2,16.5,"",""
"MOAB_055_103",31,16.2,7.5,"",""
"MOAB_055_072",31,18.7,4.5,"",""
"MOAB_055_040",31,2.7,4.5,"",""
"MOAB_055_172",31,14.7,13.5,"",""
"MOAB_055_175",31,16.2,13.5,"",""
"MOAB_055_098",31,13.7,7.5,"",""
"MOAB_055_031",31,16.2,1.5,"",""
"MOAB_055_171",31,14.2,13.5,"",""
"MOAB_055_069",31,17.2,4.5,"",""
"MOAB_055_193",31,7.2,16.5,"",""
"MOAB_055_046",31,5.7,4.5,"",""
"MOAB_055_207",31,14.2,16.5,"",""
"MOAB_055_145",31,1.2,13.5,"",""
