"siteID","taxonID","decayClass","sizeCategory","relativeAbundance","cumulativeAbundance","sampledDiskNum","cumulativeDiskNum"
"STEI","2PLANT-H","3",">=10cm",12.77,12.77,10,10
"STEI","POPUL","2",">=10cm",6.38,19.15,10,20
"STEI","2PLANT-H","4",">=10cm",6.38,25.53,10,30
"STEI","ACSA3","2",">=10cm",4.26,29.79,10,40
"STEI","FRAM2/FRPE","2",">=10cm",4.26,34.05,10,50
"STEI","FRAM2/FRPE","3",">=10cm",4.26,38.31,10,60
"STEI","ACER","4",">=10cm",4.26,42.57,10,70
"STEI","ACSA3","2","5-10cm",4.26,46.83,5,75
"STEI","SALIX","2","5-10cm",4.26,51.09,5,80
"STEI","2PLANT-H","3","5-10cm",4.26,55.35,5,85
"STEI","2PLANT-H","4","5-10cm",4.26,59.61,5,90
"STEI","2PLANT-H","2",">=10cm",2.13,61.74,10,100
"STEI","PIMA","2",">=10cm",2.13,63.87,10,110
"STEI","ACSA3","3",">=10cm",2.13,66,10,120
"STEI","FAGACE","3",">=10cm",2.13,68.13,10,130
"STEI","MALVAC","3",">=10cm",2.13,70.26,10,140
"STEI","POTR5","3",">=10cm",2.13,72.39,10,150
"STEI","ACRU","4",">=10cm",2.13,74.52,10,160
"STEI","BEPA","4",">=10cm",2.13,76.65,10,170
"STEI","SALICA","4",">=10cm",2.13,78.78,10,180
"STEI","ACSA3","5",">=10cm",2.13,80.91,10,190
"STEI","ACRU","1","2-5cm",2.13,83.04,5,195
"STEI","ACRU","2","2-5cm",2.13,85.17,5,200
"STEI","ACSA3","2","2-5cm",2.13,87.3,5,205
"STEI","2PLANT-H","3","2-5cm",2.13,89.43,5,210
"STEI","ACRU","1","5-10cm",2.13,91.56,5,215
"STEI","OSVI","1","5-10cm",2.13,93.69,5,220
"STEI","OSVI","2","5-10cm",2.13,95.82,5,225
"STEI","ACSA3","3","5-10cm",2.13,97.95,5,230
"STEI","FRAM2/FRPE","3","5-10cm",2.13,100.08,5,235
