clipID,subplotID,offsetEasting,offsetNorthing,status,date
STER_029_010,31,5.7,1.5,1,20150528
STER_029_139,31,16.2,10.5,,
STER_029_007,31,4.2,1.5,,
STER_029_020,31,10.7,1.5,,
STER_029_163,31,10.2,13.5,,
STER_029_039,31,2.2,4.5,,
STER_029_073,31,1.2,7.5,,
STER_029_093,31,11.2,7.5,,
STER_029_134,31,13.7,10.5,,
STER_029_081,31,5.2,7.5,,
STER_029_114,31,3.7,10.5,,
STER_029_092,31,10.7,7.5,,
STER_029_082,31,5.7,7.5,,
STER_029_146,31,1.7,13.5,,
STER_029_172,31,14.7,13.5,,
STER_029_115,31,4.2,10.5,,
STER_029_013,31,7.2,1.5,,
STER_029_119,31,6.2,10.5,,
STER_029_015,31,8.2,1.5,,
STER_029_067,31,16.2,4.5,,
STER_029_159,31,8.2,13.5,,
STER_029_029,31,15.2,1.5,,
STER_029_209,31,15.2,16.5,,
STER_029_018,31,9.7,1.5,,
STER_029_021,31,11.2,1.5,,
STER_029_135,31,14.2,10.5,,
STER_029_078,31,3.7,7.5,,
STER_029_150,31,3.7,13.5,,
STER_029_193,31,7.2,16.5,,
STER_029_145,31,1.2,13.5,,
STER_029_176,31,16.7,13.5,,
STER_029_194,31,7.7,16.5,,
STER_029_156,31,6.7,13.5,,
STER_029_207,31,14.2,16.5,,
STER_029_068,31,16.7,4.5,,
STER_029_197,31,9.2,16.5,,
STER_029_179,31,18.2,13.5,,
STER_029_049,31,7.2,4.5,,
STER_029_138,31,15.7,10.5,,
STER_029_141,31,17.2,10.5,,
STER_029_177,31,17.2,13.5,,
STER_029_051,31,8.2,4.5,,
STER_029_144,31,18.7,10.5,,
STER_029_055,31,10.2,4.5,,
STER_029_148,31,2.7,13.5,,
STER_029_205,31,13.2,16.5,,
STER_029_152,31,4.7,13.5,,
STER_029_171,31,14.2,13.5,,
STER_029_060,31,12.7,4.5,,
STER_029_100,31,14.7,7.5,,
STER_029_125,31,9.2,10.5,,
STER_029_157,31,7.2,13.5,,
STER_029_066,31,15.7,4.5,,
STER_029_126,31,9.7,10.5,,
STER_029_065,31,15.2,4.5,,
STER_029_069,31,17.2,4.5,,
STER_029_009,31,5.2,1.5,,
STER_029_116,31,4.7,10.5,,
STER_029_056,31,10.7,4.5,,
STER_029_019,31,10.2,1.5,,
STER_029_059,31,12.2,4.5,,
STER_029_080,31,4.7,7.5,,
STER_029_057,31,11.2,4.5,,
STER_029_189,31,5.2,16.5,,
STER_029_014,31,7.7,1.5,,
STER_029_137,31,15.2,10.5,,
STER_029_186,31,3.7,16.5,,
STER_029_016,31,8.7,1.5,,
STER_029_061,31,13.2,4.5,,
STER_029_200,31,10.7,16.5,,
STER_029_011,31,6.2,1.5,,
STER_029_076,31,2.7,7.5,,
STER_029_161,31,9.2,13.5,,
STER_029_174,31,15.7,13.5,,
STER_029_140,31,16.7,10.5,,
STER_029_063,31,14.2,4.5,,
STER_029_191,31,6.2,16.5,,
STER_029_103,31,16.2,7.5,,
STER_029_050,31,7.7,4.5,,
STER_029_142,31,17.7,10.5,,
STER_029_040,31,2.7,4.5,,
STER_029_118,31,5.7,10.5,,
STER_029_024,31,12.7,1.5,,
STER_029_165,31,11.2,13.5,,
STER_029_022,31,11.7,1.5,,
STER_029_091,31,10.2,7.5,,
STER_029_210,31,15.7,16.5,,
STER_029_155,31,6.2,13.5,,
STER_029_162,31,9.7,13.5,,
STER_029_117,31,5.2,10.5,,
STER_029_072,31,18.7,4.5,,
STER_029_038,31,1.7,4.5,,
STER_029_169,31,13.2,13.5,,
STER_029_170,31,13.7,13.5,,
STER_029_120,31,6.7,10.5,,
STER_029_044,31,4.7,4.5,,
STER_029_180,31,18.7,13.5,,
STER_029_025,31,13.2,1.5,,
STER_029_099,31,14.2,7.5,,
STER_029_151,31,4.2,13.5,,
STER_029_058,31,11.7,4.5,,
STER_029_178,31,17.7,13.5,,
STER_029_206,31,13.7,16.5,,
STER_029_164,31,10.7,13.5,,
STER_029_196,31,8.7,16.5,,
STER_029_041,31,3.2,4.5,,
STER_029_101,31,15.2,7.5,,
STER_029_064,31,14.7,4.5,,
STER_029_071,31,18.2,4.5,,
STER_029_027,31,14.2,1.5,,
STER_029_031,31,16.2,1.5,,
STER_029_079,31,4.2,7.5,,
STER_029_048,31,6.7,4.5,,
STER_029_052,31,8.7,4.5,,
STER_029_008,31,4.7,1.5,,
STER_029_123,31,8.2,10.5,,
STER_029_167,31,12.2,13.5,,
STER_029_154,31,5.7,13.5,,
STER_029_030,31,15.7,1.5,,
STER_029_136,31,14.7,10.5,,
STER_029_202,31,11.7,16.5,,
STER_029_124,31,8.7,10.5,,
STER_029_096,31,12.7,7.5,,
STER_029_042,31,3.7,4.5,,
STER_029_173,31,15.2,13.5,,
STER_029_211,31,16.2,16.5,,
STER_029_204,31,12.7,16.5,,
STER_029_074,31,1.7,7.5,,
STER_029_045,31,5.2,4.5,,
STER_029_121,31,7.2,10.5,,
STER_029_098,31,13.7,7.5,,
STER_029_201,31,11.2,16.5,,
STER_029_028,31,14.7,1.5,,
STER_029_102,31,15.7,7.5,,
STER_029_195,31,8.2,16.5,,
STER_029_147,31,2.2,13.5,,
STER_029_006,31,3.7,1.5,,
STER_029_012,31,6.7,1.5,,
STER_029_053,31,9.2,4.5,,
STER_029_122,31,7.7,10.5,,
STER_029_175,31,16.2,13.5,,
STER_029_166,31,11.7,13.5,,
STER_029_190,31,5.7,16.5,,
STER_029_046,31,5.7,4.5,,
STER_029_037,31,1.2,4.5,,
STER_029_043,31,4.2,4.5,,
STER_029_095,31,12.2,7.5,,
STER_029_047,31,6.2,4.5,,
STER_029_198,31,9.7,16.5,,
STER_029_160,31,8.7,13.5,,
STER_029_199,31,10.2,16.5,,
STER_029_097,31,13.2,7.5,,
STER_029_094,31,11.7,7.5,,
STER_029_149,31,3.2,13.5,,
STER_029_026,31,13.7,1.5,,
STER_029_054,31,9.7,4.5,,
STER_029_208,31,14.7,16.5,,
STER_029_187,31,4.2,16.5,,
STER_029_023,31,12.2,1.5,,
STER_029_188,31,4.7,16.5,,
STER_029_070,31,17.7,4.5,,
STER_029_158,31,7.7,13.5,,
STER_029_143,31,18.2,10.5,,
STER_029_083,31,6.2,7.5,,
STER_029_017,31,9.2,1.5,,
STER_029_062,31,13.7,4.5,,
STER_029_192,31,6.7,16.5,,
STER_029_153,31,5.2,13.5,,
STER_029_203,31,12.2,16.5,,
STER_029_075,31,2.2,7.5,,
STER_029_168,31,12.7,13.5,,
STER_029_077,31,3.2,7.5,,
