"clipID","subplotID","offsetEasting","offsetNorthing","status","date"
"UKFS_026_102",31,15.7,7.5,"",""
"UKFS_026_057",31,11.2,4.5,"",""
"UKFS_026_196",31,8.7,16.5,"",""
"UKFS_026_137",31,15.2,10.5,"",""
"UKFS_026_099",31,14.2,7.5,"",""
"UKFS_026_187",31,4.2,16.5,"",""
"UKFS_026_171",31,14.2,13.5,"",""
"UKFS_026_056",31,10.7,4.5,"",""
"UKFS_026_022",31,11.7,1.5,"",""
"UKFS_026_162",31,9.7,13.5,"",""
"UKFS_026_094",31,11.7,7.5,"",""
"UKFS_026_076",31,2.7,7.5,"",""
"UKFS_026_145",31,1.2,13.5,"",""
"UKFS_026_043",31,4.2,4.5,"",""
"UKFS_026_134",31,13.7,10.5,"",""
"UKFS_026_190",31,5.7,16.5,"",""
"UKFS_026_176",31,16.7,13.5,"",""
"UKFS_026_135",31,14.2,10.5,"",""
"UKFS_026_016",31,8.7,1.5,"",""
"UKFS_026_007",31,4.2,1.5,"",""
"UKFS_026_100",31,14.7,7.5,"",""
"UKFS_026_147",31,2.2,13.5,"",""
"UKFS_026_204",31,12.7,16.5,"",""
"UKFS_026_211",31,16.2,16.5,"",""
"UKFS_026_103",31,16.2,7.5,"",""
"UKFS_026_059",31,12.2,4.5,"",""
"UKFS_026_178",31,17.7,13.5,"",""
"UKFS_026_117",31,5.2,10.5,"",""
"UKFS_026_173",31,15.2,13.5,"",""
"UKFS_026_118",31,5.7,10.5,"",""
"UKFS_026_156",31,6.7,13.5,"",""
"UKFS_026_061",31,13.2,4.5,"",""
"UKFS_026_208",31,14.7,16.5,"",""
"UKFS_026_167",31,12.2,13.5,"",""
"UKFS_026_101",31,15.2,7.5,"",""
"UKFS_026_071",31,18.2,4.5,"",""
"UKFS_026_175",31,16.2,13.5,"",""
"UKFS_026_159",31,8.2,13.5,"",""
"UKFS_026_116",31,4.7,10.5,"",""
"UKFS_026_197",31,9.2,16.5,"",""
"UKFS_026_044",31,4.7,4.5,"",""
"UKFS_026_158",31,7.7,13.5,"",""
"UKFS_026_015",31,8.2,1.5,"",""
"UKFS_026_205",31,13.2,16.5,"",""
"UKFS_026_122",31,7.7,10.5,"",""
"UKFS_026_119",31,6.2,10.5,"",""
"UKFS_026_144",31,18.7,10.5,"",""
"UKFS_026_095",31,12.2,7.5,"",""
"UKFS_026_166",31,11.7,13.5,"",""
"UKFS_026_082",31,5.7,7.5,"",""
"UKFS_026_172",31,14.7,13.5,"",""
"UKFS_026_009",31,5.2,1.5,"",""
"UKFS_026_050",31,7.7,4.5,"",""
"UKFS_026_006",31,3.7,1.5,"",""
"UKFS_026_097",31,13.2,7.5,"",""
"UKFS_026_030",31,15.7,1.5,"",""
"UKFS_026_191",31,6.2,16.5,"",""
"UKFS_026_027",31,14.2,1.5,"",""
"UKFS_026_188",31,4.7,16.5,"",""
"UKFS_026_091",31,10.2,7.5,"",""
"UKFS_026_023",31,12.2,1.5,"",""
"UKFS_026_161",31,9.2,13.5,"",""
"UKFS_026_008",31,4.7,1.5,"",""
"UKFS_026_078",31,3.7,7.5,"",""
"UKFS_026_053",31,9.2,4.5,"",""
"UKFS_026_031",31,16.2,1.5,"",""
"UKFS_026_114",31,3.7,10.5,"",""
"UKFS_026_203",31,12.2,16.5,"",""
"UKFS_026_192",31,6.7,16.5,"",""
"UKFS_026_077",31,3.2,7.5,"",""
"UKFS_026_096",31,12.7,7.5,"",""
"UKFS_026_045",31,5.2,4.5,"",""
"UKFS_026_170",31,13.7,13.5,"",""
"UKFS_026_012",31,6.7,1.5,"",""
"UKFS_026_141",31,17.2,10.5,"",""
"UKFS_026_092",31,10.7,7.5,"",""
"UKFS_026_042",31,3.7,4.5,"",""
"UKFS_026_140",31,16.7,10.5,"",""
"UKFS_026_125",31,9.2,10.5,"",""
"UKFS_026_037",31,1.2,4.5,"",""
"UKFS_026_060",31,12.7,4.5,"",""
"UKFS_026_066",31,15.7,4.5,"",""
"UKFS_026_202",31,11.7,16.5,"",""
"UKFS_026_048",31,6.7,4.5,"",""
"UKFS_026_123",31,8.2,10.5,"",""
"UKFS_026_075",31,2.2,7.5,"",""
"UKFS_026_051",31,8.2,4.5,"",""
"UKFS_026_073",31,1.2,7.5,"",""
"UKFS_026_018",31,9.7,1.5,"",""
"UKFS_026_151",31,4.2,13.5,"",""
"UKFS_026_169",31,13.2,13.5,"",""
"UKFS_026_149",31,3.2,13.5,"",""
"UKFS_026_121",31,7.2,10.5,"",""
"UKFS_026_070",31,17.7,4.5,"",""
"UKFS_026_081",31,5.2,7.5,"",""
"UKFS_026_201",31,11.2,16.5,"",""
"UKFS_026_028",31,14.7,1.5,"",""
"UKFS_026_163",31,10.2,13.5,"",""
"UKFS_026_168",31,12.7,13.5,"",""
"UKFS_026_072",31,18.7,4.5,"",""
"UKFS_026_014",31,7.7,1.5,"",""
"UKFS_026_064",31,14.7,4.5,"",""
"UKFS_026_047",31,6.2,4.5,"",""
"UKFS_026_046",31,5.7,4.5,"",""
"UKFS_026_026",31,13.7,1.5,"",""
"UKFS_026_120",31,6.7,10.5,"",""
"UKFS_026_193",31,7.2,16.5,"",""
"UKFS_026_052",31,8.7,4.5,"",""
"UKFS_026_165",31,11.2,13.5,"",""
"UKFS_026_164",31,10.7,13.5,"",""
"UKFS_026_160",31,8.7,13.5,"",""
"UKFS_026_155",31,6.2,13.5,"",""
"UKFS_026_083",31,6.2,7.5,"",""
"UKFS_026_058",31,11.7,4.5,"",""
"UKFS_026_013",31,7.2,1.5,"",""
"UKFS_026_199",31,10.2,16.5,"",""
"UKFS_026_067",31,16.2,4.5,"",""
"UKFS_026_038",31,1.7,4.5,"",""
"UKFS_026_180",31,18.7,13.5,"",""
"UKFS_026_146",31,1.7,13.5,"",""
"UKFS_026_124",31,8.7,10.5,"",""
"UKFS_026_206",31,13.7,16.5,"",""
"UKFS_026_200",31,10.7,16.5,"",""
"UKFS_026_020",31,10.7,1.5,"",""
"UKFS_026_017",31,9.2,1.5,"",""
"UKFS_026_068",31,16.7,4.5,"",""
"UKFS_026_079",31,4.2,7.5,"",""
"UKFS_026_065",31,15.2,4.5,"",""
"UKFS_026_179",31,18.2,13.5,"",""
"UKFS_026_074",31,1.7,7.5,"",""
"UKFS_026_207",31,14.2,16.5,"",""
"UKFS_026_080",31,4.7,7.5,"",""
"UKFS_026_040",31,2.7,4.5,"",""
"UKFS_026_143",31,18.2,10.5,"",""
"UKFS_026_055",31,10.2,4.5,"",""
"UKFS_026_198",31,9.7,16.5,"",""
"UKFS_026_189",31,5.2,16.5,"",""
"UKFS_026_041",31,3.2,4.5,"",""
"UKFS_026_098",31,13.7,7.5,"",""
"UKFS_026_186",31,3.7,16.5,"",""
"UKFS_026_177",31,17.2,13.5,"",""
"UKFS_026_115",31,4.2,10.5,"",""
"UKFS_026_029",31,15.2,1.5,"",""
"UKFS_026_019",31,10.2,1.5,"",""
"UKFS_026_025",31,13.2,1.5,"",""
"UKFS_026_139",31,16.2,10.5,"",""
"UKFS_026_063",31,14.2,4.5,"",""
"UKFS_026_021",31,11.2,1.5,"",""
"UKFS_026_062",31,13.7,4.5,"",""
"UKFS_026_150",31,3.7,13.5,"",""
"UKFS_026_093",31,11.2,7.5,"",""
"UKFS_026_126",31,9.7,10.5,"",""
"UKFS_026_011",31,6.2,1.5,"",""
"UKFS_026_154",31,5.7,13.5,"",""
"UKFS_026_138",31,15.7,10.5,"",""
"UKFS_026_148",31,2.7,13.5,"",""
"UKFS_026_194",31,7.7,16.5,"",""
"UKFS_026_174",31,15.7,13.5,"",""
"UKFS_026_024",31,12.7,1.5,"",""
"UKFS_026_010",31,5.7,1.5,"",""
"UKFS_026_210",31,15.7,16.5,"",""
"UKFS_026_157",31,7.2,13.5,"",""
"UKFS_026_039",31,2.2,4.5,"",""
"UKFS_026_136",31,14.7,10.5,"",""
"UKFS_026_195",31,8.2,16.5,"",""
"UKFS_026_152",31,4.7,13.5,"",""
"UKFS_026_054",31,9.7,4.5,"",""
"UKFS_026_209",31,15.2,16.5,"",""
"UKFS_026_142",31,17.7,10.5,"",""
"UKFS_026_069",31,17.2,4.5,"",""
"UKFS_026_049",31,7.2,4.5,"",""
"UKFS_026_153",31,5.2,13.5,"",""
